lugar,implicado,fuente
Vereda El Topacio,Grupos Paramilitares,Enterrar y Callar Pp. 109 CPDH
IPD La Arabia,Fuerza Pública-Ejército Nacional,Enterrar y Callar Pp. 89 Boletín de Prensa CPDH. Noviembre de 1980
IPD Puerto Olaya,Guerrilla-FARC ,Enterrar y Callar Pp. 187 El Tiempo 10 de Enero de 1981 Pp. 12A
Sitio Las Brisas,Guerrilla-FARC ,Enterrar y Callar Pp. 167 El Tiempo 17 de Enero de 1981 Pp. 8B
Vereda Mesa Rica,Fuerza Pública-Ejército Nacional,Enterrar y Callar Pp. 174 Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 5 Norte de Santander Pp. 74
Vereda Mesa Rica,Fuerza Pública-Ejército Nacional,Enterrar y Callar Pp. 174 Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 5 Norte de Santander Pp. 74
Vereda La Gallineta,Fuerza Pública-Ejército Nacional,Enterrar y Callar Pp. 108 CPDH
Corregimiento Caserí-Vereda La Trampita,Guerrilla-ELN ,Enterrar y Callar Pp. 30 El Tiempo. 19.10.1981: 3A
IPM Puerto Romero-Vereda Guanegro,Guerrilla-FARC ,Enterrar y Callar Pp. 101 El Tiempo. 20 de Octubre de 1981: 2A
"Caserío La Mesa-Veredas La Mesa, La Danta y Mulatos",Guerrilla-FARC ,Enterrar y Callar Pp. 79 El Tiempo. 26.10.1981: 1A y 3A 
Vereda Puerto Guevara,Fuerza Pública-Ejército Nacional,Enterrar y Callar Pp. 101 CPDH
Vereda Bocana Canelo,Grupo Armado No Identificado,"Enterrar y callar Pp. 108 Revista Semana # 135, Diciembre de 1984"
Zona Rural,Guerrilla-FARC ,Enterrar y Callar Pp. 200 El Tiempo. 13 de Diciembre de 1981 Pp. 17A y 15 de Diciembre de 1981 Pp. 1A y 2A
Corregimiento Cañabraval,Fuerza Pública-Ejército Nacional,Colombia Nunca Más. Crímenes de Lesa Humanidad Zona 5 Sur de Bolívar Pp. 29
